entry_no,horse,rider,trainer,source
1442,Rr Monster,Mckenzie Badley,Matthew Le Master,class_oog.php
1485,Roncevert,Lanie Nash,Dawn Hersey,class_oog.php
1508,Guerrera,Dakota Sheikh,Mario Garcia,class_oog.php
1645,Comedian Of Picobello Z,Sebastian Presa Tejada,Juan A. Rodriguez Silva,class_oog.php
1646,Con Sol,Nicole Presa Tejada,Juan A. Rodriguez Silva,class_oog.php
1706,Airway Semilly,Ella Walker,Anne L. Bingler,class_oog.php
1776,Lavei,Alyson Jones,Kim Taylor,class_oog.php
1794,Chico Bella Z,Lily Niebur,Louise Pejstrup,class_oog.php
2072,O'Quality Z,Kyle Dewar,Kyle Dewar,class_oog.php
2389,Fanfan Boy,Tanner Korotkin,Alan Korotkin,class_oog.php
2532,Solaguayre Chaquensi,Gianni Gabrielli,Gianni Gabrielli,class_oog.php
2563,Itoulon B,Spencer Brittan,Spencer Brittan,class_oog.php
2564,Larcelo,Spencer Brittan,Spencer Brittan,class_oog.php
2985,Vdl Masque-Unea,Savannah Groselle,Savannah Groselle,class_oog.php
2987,Million's Crack Ki,Ana Elena Armas,Luciano Dome,class_oog.php
2994,Stapleton Asha,Lilly Mack,Dennis Mitchell,class_oog.php
2998,Granslam De Lezellec,Lilly Mack,Dennis Mitchell,class_oog.php
3047,Jasmin De L’abbaye,Gianni Gabrielli,Gianni Gabrielli,class_oog.php
1319,High Time,Anne C. Hormel,Camille Maynard,class_oog.php
1424,Arthur,Stefano Baruzzo,Stefano Baruzzo,class_oog.php
1441,Princeton Mk,Matthew Le Master,Matthew Le Master,class_oog.php
1589,Kali,Mireya Godoy,Juan M. Bolanos,class_oog.php
1737,Vienna Van't Kiezelhof Lhf,Marcus Gruenthal,Marcus Gruenthal,class_oog.php
1763,Dominic Toretto,Ashlee Bond,Ashlee Bond,class_oog.php
2079,Orange Blossom Na,Sarah Kerins,Darragh Kerins,class_oog.php
3040,Olivia Ve,Anthony Sauriol,Anthony Sauriol,class_oog.php
3048,Conchacco Ps,Alyssa Pascucci,Alyssa Pascucci,class_oog.php
1106,Naomi Hpf,Hector Florentino,Benjamin J. Meredith,class_oog.php
1247,Captain Marvel CF,Erica Robson,Erica Robson,class_oog.php
1435,Hellcat,Megan O'Brien,Megan O'Brien,class_oog.php
1726,As You Are,Miro Frey,Stephanie Frey,class_oog.php
2340,Penelope De La Fresnière,Luke Sassi,Luke Sassi,class_oog.php
2431,Virgules Balou Van 'T Neerhof,Alexandra Goetze Bell,Alexandra Goetze Bell,class_oog.php
2930,Miracle Van De Beiaard Z,Declan Egan,Declan Egan,class_oog.php
2949,Nadia I,Andras Szieberth,Andras Szieberth,class_oog.php
2954,Dropshot Z,Paige Jones,Dominique H. Damico,class_oog.php
2968,Anthem L.a. Z,Luciano Dome,Luciano Dome,class_oog.php
3015,6-7,Kinser Vale,Ben Taylor,class_oog.php
3045,Hpf Melania,Francisco Vaca,Shannon Y. Clifford,class_oog.php
1082,Skat 15,Laura Linback,Troy Linback,class_oog.php
1790,Cataumet,Lauren Schweppe,Lauren Schweppe,class_oog.php
1854,Keira Usa,Madison Wayda Smith,Kyle Dewar,class_oog.php
2827,Lord Carlino,Alexandra Hird,August Torsilieri,class_oog.php
3005,Kilmastulla Quality Touch,Seanna Reser,Stacey L. Reser,class_oog.php
3018,Corzico Melloni Z,Dorothy Douglas,Jelmer Hoekstra,class_oog.php
1031,Hurricane,Carsyn Korotkin,Alan Korotkin,class_oog.php
1183,Mastermind,Naomi Selleck,Alan Korotkin,class_oog.php
1555,Katch Can-Do,Olivia Israel,Jenny Miller,class_oog.php
1564,Mtm Silhouette,Bowers A. Cone,Stephen Dicarlo,class_oog.php
1749,Coffee,Kirsten L. Malacarne,George J. Bessette,class_oog.php
1846,Carlos He’las,Evana Somareddy,Heather Dayner,class_oog.php
1876,Churchill Blue,Dorothy Douglas,Tara G. Bostwick,class_oog.php
2361,Casuall,John Michael Durr,John Michael Durr,class_oog.php
2383,A La Quattro S,Vivian Heyer,August Torsilieri,class_oog.php
2542,Sunkist,Timothy Maddrix,Terry L. Brown,class_oog.php
2720,Espresso,Molly Frei,Sven Frei,class_oog.php
3022,Netezwiggy Vd Watermolen,Dorothy Douglas,Jelmer Hoekstra,class_oog.php
1576,Cadenza,Kelsey Duffy,Kelsey Duffy,class_oog.php
1760,Pistachio,Stephanie Frey,Stephanie Frey,class_oog.php
2182,Outlaw,Isabella Agliano,Robert P. Stucky,class_oog.php
2329,Mtm Rico Suave,Tracy Fenney,Michael J. Mccormick,class_oog.php
2867,Chef Special,Tracy Fenney,Michael J. Mccormick,class_oog.php
2927,Dexter,Jake Evans,Jake Evans,class_oog.php
1095,Cabana Boy,Isaac Leffkowitz,Isaac Leffkowitz,class_oog.php
1098,Royal Mark,Isaac Leffkowitz,Isaac Leffkowitz,class_oog.php
1428,Insightful,Lanie Nash,Dawn Hersey,class_oog.php
1521,Ziggy Stardust,Bowers A. Cone,Stephen Dicarlo,class_oog.php
1926,Costello,Allison Beck,Derek Van Der Burgh,class_oog.php
1976,Debonair,Jennifer Tate,Jennifer Tate,class_oog.php
2368,Cheque,Jake Evans,Jake Evans,class_oog.php
2634,Mtm Nutmeg,Rachel Zaluski,Natalie Geller,class_oog.php
2664,Callisto,Angela Gais,Angela Gais,class_oog.php
2986,Maui,Eva Bernstein,Matt Martin,class_oog.php
3030,Missy Vd Vosberg,Stacey L. Reser,Stacey L. Reser,class_oog.php
1041,Luminosity Class,Tanner Korotkin,Alan Korotkin,class_oog.php
1249,Colombiana,Erica Robson,Erica Robson,class_oog.php
1522,Calid 3,Jake Evans,Jake Evans,class_oog.php
1728,Simpatico,Stephanie Frey,Stephanie Frey,class_oog.php
2049,Top Secret Hk,Helen Goddard,Helen Goddard,class_oog.php
2603,Dominus Z,Charlotte H. Wiese,Jasmine Walsh,class_oog.php
2604,Hand Painted,Jasmine Walsh,Jasmine Walsh,class_oog.php
2608,Vincent Van Gough,Jasmine Walsh,Jasmine Walsh,class_oog.php
2794,Joylon Gb,Eva Bernstein,Matt Martin,class_oog.php
2868,Mtm Drop The Mic,Tracy Fenney,Michael J. Mccormick,class_oog.php
3043,Playground,Dorothy Douglas,Jelmer Hoekstra,class_oog.php
1217,Dream Boat,Megan Wexler,Megan Wexler,class_oog.php
1665,Salt Spring,Kyle Dewar,Kyle Dewar,class_oog.php
1823,Aperture Vf,Lia Screnci,Lia Screnci,class_oog.php
2393,United's Choice,Dana Ventrice,Dana Ventrice,class_oog.php
1049,Vote For Pedro,Carsyn Korotkin,Alan Korotkin,class_oog.php
1222,Ladies Night,Megan Wexler,Megan Wexler,class_oog.php
1453,Childhood Dream,Lanie Nash,Dawn Hersey,class_oog.php
1748,Center Stage,Kirsten L. Malacarne,George J. Bessette,class_oog.php
1774,Endeavor In His Name,Alyson Jones,Kim Taylor,class_oog.php
1848,Mystery Man,Schuyler Dayner,Heather Dayner,class_oog.php
1977,Just A Gentleman,Brittany G. Wyatt,Stephanie Free,class_oog.php
2066,Red Admiral,Elizabeth C. de Golian,Elizabeth C. de Golian,class_oog.php
2120,Freeman,Caroline Willard Briles,Caroline Willard Briles,class_oog.php
2387,Winterfells Castle Black,Sierra Montgomery,Lisa Hasenbeck,class_oog.php
2522,Remix De Ganad,Alexandra Hird,August Torsilieri,class_oog.php
2623,Sophistakkato,Katherine Nunez,Debra L. Ward,class_oog.php
2820,Peyton Cm Kapade,Angelina M Palmeri,Derek Van Der Burgh,class_oog.php
2865,Ewsz Chardonnay,Kalli Core,Bobby Boulger,class_oog.php
2943,Gladrags,Stephanie Frey,Stephanie Frey,class_oog.php
2969,Kismet,Joshua Tabor,Joshua Tabor,class_oog.php
2974,St. Nick,Kalli Core,Bobby Boulger,class_oog.php
2977,Dialey Ak,Helen Goddard,Helen Goddard,class_oog.php
2978,Toussant,Helen Goddard,Helen Goddard,class_oog.php
3034,Napoleon,Robert P. Stucky,Robert P. Stucky,class_oog.php
2941,Nightfall,Windsor Ryan,Traci A. Weston,class_oog.php
1483,Thunder Shark,Fabian Herrera,Fabian Herrera,class_oog.php
1221,Kobalt Des Vk,Megan Wexler,Megan Wexler,class_oog.php
2945,Koletta,Stephanie Frey,Stephanie Frey,class_oog.php
2972,Cartier De Muze,Lincoln Russell,Lincoln Russell,class_oog.php
1582,Harmony De Muze,Jake Evans,Jake Evans,class_oog.php
2348,Cupido De Jolie Z,Katlynn Butler,Katlynn Butler,class_oog.php
1301,Quatro,Lanie Nash,Dawn Hersey,class_oog.php
1458,Sweeter Than Fiction,Addy Dewalt,Wendy J. Hechler,class_oog.php
1493,Lyon,Katherine Addington,Bibby F. Hill,class_oog.php
1554,Going Global,Jenny Miller,Jenny Miller,class_oog.php
1698,Orchard Hills Best Dressed,Ryan Haselden,Lindsay Haselden,class_oog.php
1918,The Flying Dutchman,Bryce P. Richardson,Bryce P. Richardson,class_oog.php
1924,Argento 2,Aubrey Frank,Derek Van Der Burgh,class_oog.php
1983,Koh I Knoor,Natalie Johnson Russell,Natalie Johnson Russell,class_oog.php
2097,Cleveland 42,Isaac Leffkowitz,Isaac Leffkowitz,class_oog.php
2099,Loire,Isaac Leffkowitz,Isaac Leffkowitz,class_oog.php
2161,Astronaut H Z,Teresa Pompay,Josh Dolan,class_oog.php
2304,Camden Street,Phillipa Greenberg,Wendy J. Hechler,class_oog.php
2610,Starridor,Charlotte H. Wiese,Jasmine Walsh,class_oog.php
2668,Curtis 89,Josephine Demmo,Alan Korotkin,class_oog.php
2725,Coeur D'honneur,Jennifer Phethean,Jennifer Phethean,class_oog.php
2937,Follow Me,Marissa Creviston,Marissa Creviston,class_oog.php
2940,Obora’s Sandman,Marissa Creviston,Marissa Creviston,class_oog.php
2715,Living The Dream,Aidan Murphy,Candice King,class_oog.php
2730,Striking Elsa,Phillipa Greenberg,Jennifer Phethean,class_oog.php
2838,Delisa Gp,Heather Froehlich Cortell,Heather Froehlich Cortell,class_oog.php
2607,Santino,Jasmine Walsh,Jasmine Walsh,class_oog.php
1027,Fort Knox,Lainey Posa,Alan Korotkin,class_oog.php
1029,Halo,Carsyn Korotkin,Alan Korotkin,class_oog.php
1495,Parade,Devin A. Seek,Bibby F. Hill,class_oog.php
1498,Untitled,Katherine Addington,Bibby F. Hill,class_oog.php
1509,Amuze Bouche,Wendy J. Hechler,Wendy J. Hechler,class_oog.php
1966,Carli De Sabette,Vannakay Hurnevich,Kim E. Burnette,class_oog.php
2183,Follow Me Home,Caitlin Maloney,Caitlin Maloney,class_oog.php
2386,Marvick,Sierra Montgomery,Lisa Hasenbeck,class_oog.php
2390,Poptart,Lainey Posa,Alan Korotkin,class_oog.php
2391,Benlea Magic Dragon,Noemi Varela,Dana Ventrice,class_oog.php
2973,Khan Of Ballmore,Mari Gromkowski,Mari Gromkowski,class_oog.php
